sample,T_C,H2OT-eq_wtpc,CO2T-eq_ppmw,ST_ppmw,X_ppmw,SCSS_ppm,sulfide saturated,P_bar_sulf,fO2_DFMQ_sulf,fO2_bar_sulf,Fe3+/FeT_sulf,S6+/ST_sulf,SCAS_ppm,anhydrite saturated,P_bar_anh,fO2_DFMQ_anh,fO2_bar_anh,Fe3+/FeT_anh,S6+/ST_anh,setup opt,COH_species opt,H2S_m opt,species X opt,Hspeciation opt,fO2 opt,NNObuffer opt,FMQbuffer opt,carbon dioxide opt,water opt,hydrogen opt,sulfide opt,sulfate opt,hydrogen sulfide opt,methane opt,carbon monoxide opt,species X solubility opt,Cspeccomp opt,Hspeccomp opt,SCSS opt,SCAS opt,sulfur_saturation opt,sulfur_is_sat opt,graphite_saturation opt,ideal_gas opt,y_CO2 opt,y_SO2 opt,y_H2S opt,y_H2 opt,y_O2 opt,y_S2 opt,y_CO opt,y_CH4 opt,y_H2O opt,y_OCS opt,y_X opt,KHOg opt,KHOSg opt,KOSg opt,KOSg2 opt,KCOg opt,KCOHg opt,KOCSg opt,KCOs opt,carbonylsulfide opt,density opt,Date
Ala02-9,1127.9520683715577,3.3044817746228974,545.4718459830684,941.4,0.0,852.4957270972586,possible,1991.6005936912838,0.7144066165291125,4.941506793423096e-09,0.19216226755254776,0.09443836084846124,6337.932590840985,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:16.552435
Ala02-11,1106.8556954770993,3.4448982683497587,998.0126909943515,1275.66,0.0,814.926428212895,possible,2810.524355788281,1.0528026362329896,6.70038446296347e-09,0.22132655359363523,0.361172704158714,5873.114696901238,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:17.803659
Ala02-12,1120.055714232326,4.118798901688724,728.9940035168712,1313.23,0.0,825.4781931487344,possible,2736.867861517234,1.0583647464917583,9.90890453562126e-09,0.23660727300432924,0.37141384742296907,6799.758834735193,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:19.081734
Ala02-15,1130.9676580522419,4.284922722121011,522.7841252317797,1509.53,0.0,927.402512369188,possible,2524.7957862320313,1.0702600001867602,1.3477737489517983e-08,0.2499530808131038,0.38563492453333953,7264.016646439353,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:20.870711
Ala02-16A,1111.076034742146,4.291114407062978,995.6336469130257,1544.07,0.0,783.9468092619185,possible,3250.887809840145,1.194190964920569,1.1408942756898917e-08,0.23189331415480835,0.4922854473813244,6599.044207160666,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:22.261785
Ala03-1,1119.4021071930028,2.370558970080901,672.8616567038862,1143.63,0.0,904.2101632459094,possible,1840.4699616038029,0.7491185153276927,4.051521176281866e-09,0.21110665431748032,0.20935078369235743,6068.356279170156,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:23.553919
Sari15-04-3,1133.2553105786124,2.835225669929751,232.69588384479178,1324.57,0.0,1070.6174448894305,possible,1240.6057491468853,0.8796810499229224,7.3679735580093285e-09,0.2221936232050848,0.19172452577860702,6587.337248102702,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:24.703911
Sari15-04-7,1111.8253157563668,4.7863055971204815,960.517947140654,1375.11,0.0,823.0330736089871,possible,3441.348890318555,1.1221371010200825,1.0232635943340225e-08,0.24472501114742176,0.40147837365084454,6760.343851396423,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:26.483133
Sari15-04-10,1117.2769704722377,3.631380623016561,281.78323388935445,1238.89,0.0,912.4359455902724,possible,1733.9770736958237,1.0456445167244208,7.3857849781476626e-09,0.22993748419941823,0.2635052784425798,6304.684813174595,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:27.557629
Sari15-04-11,1108.3308431739533,3.8909134441553044,552.0462870033399,1416.81,0.0,830.6463104512866,possible,2343.395839012462,1.1719448902161158,8.457198933503493e-09,0.24354128190283583,0.4137207455824799,5994.152737058877,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:28.936096
Sari15-04-13,1105.7629837434538,3.811735307045492,369.6533393736553,1326.97,0.0,853.3241228009302,possible,1996.9660708007646,1.1539890271902724,7.049405527550753e-09,0.23897345007286364,0.3569378939984097,6001.246821461585,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:29.898931
Sari15-04-15,1110.799614621254,3.383030761947497,503.9179971105057,1373.29,0.0,922.9495058974989,possible,1999.9850641231742,1.0611603951111235,6.625522559716016e-09,0.23734510164827624,0.32792818276001506,6007.817699459121,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:31.021322
Sari15-04-17,1120.373882300849,2.8662875116083524,66.66556748320994,1206.48,0.0,961.4234320100292,possible,925.0668048935329,0.9512124163541991,5.622369957438068e-09,0.22447093478678148,0.20311697499334494,6034.681983257536,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:31.787117
Sari15-04-18,1134.3156475451729,3.1816876428682006,59.68136506893064,1252.13,0.0,1006.0729083030952,possible,1070.4766953502597,0.9238451915829842,8.158044343434953e-09,0.22748443891000447,0.19651081892208067,6690.059365478837,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:32.653740
Sari15-04-21,1120.1244465700756,2.598612555706324,108.49778013412663,1386.46,0.0,1015.0939041230747,possible,911.0535688935385,1.0234744409987417,6.574518968161038e-09,0.23112423642533106,0.26785200862406794,5863.658925641129,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:33.456710
Sari15-04-22,1118.2339217012814,3.005091773725006,96.57913391350034,1386.63,0.0,975.6690432834677,possible,1076.8508866012644,1.0641317382454947,7.03480897168893e-09,0.23727731530206586,0.29637391136534785,6052.967086372338,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:34.289261
Sari15-04-23,1118.2110714306446,2.7066826021869472,110.44538018215091,1289.52,0.0,1022.2423124318302,possible,944.0105046916455,0.9456934532837131,5.224165613781589e-09,0.22850587098608824,0.2072691292637336,6112.840843913206,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:35.135222
Sari15-04-24,1126.0803468147783,3.829394928684443,861.9453235599856,1240.03,0.0,886.1925507582527,possible,2785.5240321569895,0.959793722493588,9.504062522078632e-09,0.2247485929974829,0.2853458781172612,6683.8788197735075,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:36.519003
Sari15-04-25,1115.9031629176939,3.2439829279108747,388.2999222401394,1288.1,0.0,927.7247077259113,possible,1725.3199465886382,1.0322630788576284,6.864580580600816e-09,0.22847753614942665,0.2797727600916766,6073.258642306952,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:37.869366
Sari15-04-27,1134.9001179782858,4.027406835643592,241.02115285924006,1493.19,0.0,918.2941850745061,possible,1910.9116404999613,1.1342344002033267,1.5667462349990297e-08,0.24195581748010705,0.3850118303266791,7008.539572379624,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:38.991010
Sari15-04-29,1125.8912291561965,4.147078341902947,724.0208121536994,1478.84,0.0,898.5639859361886,possible,2755.7857538059557,1.0752746866654501,1.2264706506803908e-08,0.24231882685656062,0.39238593361270413,6886.8819431242255,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:40.697230
Sari15-04-30,1133.499908656317,4.275675688504213,396.3331907454471,1450.67,0.0,924.3829980393333,possible,2311.409439312866,1.0886254591907392,1.455845635581797e-08,0.24362917364043316,0.3627889195755525,7188.791016782554,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:41.918815
Sari15-04-31A,1129.6138766219879,3.798829299879002,627.2920025061642,1484.12,0.0,937.2562667932239,possible,2427.421618559699,1.0565320675110357,1.2336582629318076e-08,0.23615056526175462,0.368476762800027,6911.112954714766,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:43.357688
Sari15-04-33,1099.0448068397163,4.1436710274714015,1482.0842639337989,1343.58,0.0,711.9591709705744,possible,3792.200608117773,1.1540293105301185,8.012690635373771e-09,0.2314898687953208,0.47010288113058074,5478.376547276891,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:45.592046
Sari15-04-34,1131.5395630317348,3.7987679910307888,1104.202971144583,1614.12,0.0,938.0075159666756,possible,3163.9407192383405,1.0352073328642506,1.4184422497323742e-08,0.23299916280910843,0.418873741749885,6991.473546421159,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:47.245101
Sari15-04-36,1105.6073717806016,3.762284065481795,263.1364004203029,1456.54,0.0,832.2797916192926,possible,1799.2217619031785,1.2481351376543302,8.403999388790611e-09,0.2442329625400743,0.42859118759574566,5815.126064376549,False,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 16:23:48.485669
